E,T_real,T_imag,R_real,R_imag,absT2,absR2,unitarity_error
0.6213830616723959,-0.002549379972168191,-0.1402936400775635,-0.9899432263062966,0.017988993876827404,0.019688804784455425,0.9803111952104203,5.12423437015741e-12
0.6213880647993502,-0.0022946684499211647,-0.13865633011516248,-0.9902023111540121,0.01638717833716043,0.019230843384299975,0.9807691566286008,1.2900791546144319e-11
0.6213930679263046,-0.0020511139465935377,-0.1370562325076125,-0.9904502376782125,0.014822575020973415,0.01878861793760266,0.9812113820470801,1.5317191959240972e-11
0.6213980710532588,-0.0018181575506042212,-0.13549211799665545,-0.9906875647910464,0.013293954677923936,0.018361419736098422,0.9816385802625923,1.3092860129404471e-12
0.6214030741802132,-0.0015952733141078757,-0.1339628097100765,-0.9909148184401124,0.01180014043159148,0.01794857928236487,0.9820514207184062,7.711609129046337e-13
0.6214080773071675,-0.0013819658156073405,-0.13246717980559972,-0.9911324940473957,0.01034000443789938,0.017549463555164596,0.9824505364483868,3.5513814111709507e-12
0.6214130804341219,-0.001177768395218917,-0.13100414875107808,-0.9913410582723008,0.008912467173695218,0.017163474128387368,0.9828365258875674,1.59547930422832e-11
0.6214180835610762,-0.0009822409194819447,-0.129572680519804,-0.9915409512485922,0.007516492606106838,0.016790044334311104,0.9832099556640608,1.628142065612792e-12
0.6214230866880306,-0.0007949682977864946,-0.12817178275582486,-0.9917325880666698,0.006151088377457335,0.01642863786940085,0.983571362121642,8.9571683403733e-12
0.621428089814985,-0.0006155586735281484,-0.12680050298826642,-0.991916360583426,0.0048153020175844795,0.016078746470557917,0.98392125352659,2.8520519279595646e-12
0.6214330929419393,-0.0004436420110681077,-0.12545792742271963,-0.9920926388346424,0.0035082197376610715,0.01573988837143837,0.9842601116356118,7.050138250974669e-12
0.6214380960688937,-0.0002788686038447169,-0.12414317839177452,-0.9922617725262012,0.002228963860425798,0.01541160650891016,0.9845883934967299,5.64015500970072e-12
0.621443099195848,-0.00012090788222768918,-0.12285541346399306,-0.9924240922285582,0.0009766919633091846,0.015093467236124675,0.9849065327628688,1.006528194125167e-12
0.6214481023228023,3.055283460255479e-05,-0.12159382342006464,-0.9925799106216849,-0.0002494051817662418,0.01478505882738556,0.9852149411726966,8.215650382226158e-14
0.6214531054497566,0.00017580954045690758,-0.12035762985742891,-0.9927295237005842,-0.0014501059684410309,0.014485989973892383,0.9855140100341087,8.000933249263653e-12
0.621458108576711,0.00031514240961842303,-0.11914608508523465,-0.9928732116385237,-0.0026261580902364524,0.014195888905876317,0.9858041110957118,1.588063014423824e-12
0.6214631117036654,0.0004488168938730498,-0.11795846987252293,-0.993011239887741,-0.003778280785980455,0.013914402051271119,0.9860855979490866,3.5771385853422544e-13
0.6214681148306197,0.0005770846102894092,-0.11679409192425608,-0.9931438600653625,-0.004907166335217962,0.013641192935059011,0.9863588070669701,2.029043599804936e-12
0.6214731179575741,0.0007001840687597345,-0.11565228564461698,-0.9932713106814912,-0.006013480349056634,0.01337594143255422,0.9866240585688362,1.390443316040546e-12
0.6214781210845284,0.0008183415964872771,-0.1145324096961762,-0.9933938180630931,-0.007097864150142221,0.013118342553781298,0.9868816574414636,4.7550852144695455e-12
0.6214831242114828,0.0009317719752985494,-0.11343384667155258,-0.99351159699148,-0.008160935168851136,0.012868105769719255,0.9871318942193911,1.0889622537035848e-11
0.6214881273384371,0.0010406791299535363,-0.11235600198639607,-0.9936248513921965,-0.009203287966912152,0.01262495419541856,0.9873750458135663,8.984812893686467e-12
0.6214931304653915,0.0011452567976624143,-0.11129830203877666,-0.9937337750026728,-0.010225496155732842,0.01238862364984735,0.9876113763526938,2.5410784587620583e-12
0.6214981335923458,0.0012456890489789534,-0.11026019467506101,-0.9938385518928385,-0.011228111889503194,0.012158862270989102,0.9878411377250573,3.953615212992645e-12
0.6215031367193001,0.0013421508967291127,-0.10924114727139382,-0.9939393570760612,-0.012211667784089924,0.01193542962619994,0.9880645703748424,1.042277375518097e-12
