energy,transmission,reflection,unitarity_error
0.3552,2.91586851057e-10,0.999999999714,5.57309753901e-12
0.357133333333,3.0742899865e-10,0.999999999693,3.31068505943e-13
0.359066666667,3.24157072962e-10,0.999999999664,1.17387211063e-11
0.361,3.4182262341e-10,0.999999999658,6.06181771445e-14
0.362933333333,3.60480352049e-10,0.999999999646,6.06670269576e-12
0.364866666667,3.80188317949e-10,0.999999999612,7.33435534528e-12
0.3668,4.01008155942e-10,0.9999999996,1.41442413337e-12
0.368733333333,4.2300531039e-10,0.999999999585,7.57616192004e-12
0.370666666667,4.46249285512e-10,0.999999999567,1.31850086404e-11
0.3726,4.70813913243e-10,0.999999999529,2.55240273361e-13
0.374533333333,4.96777640073e-10,0.999999999501,2.11863859789e-12
0.376466666667,5.2422383422e-10,0.999999999489,1.34139366281e-11
0.3784,5.53241114972e-10,0.999999999456,9.55058254704e-12
0.380333333333,5.83923705371e-10,0.999999999421,4.60387283852e-12
0.382266666667,6.16371810846e-10,0.999999999376,7.53064277603e-12
0.3842,6.50692024836e-10,0.999999999355,5.3965720781e-12
0.386133333333,6.86997764555e-10,0.999999999318,5.05684383256e-12
0.388066666667,7.2540973834e-10,0.99999999927,4.74065231515e-12
0.39,7.66056447956e-10,0.999999999249,1.55517820843e-11
0.391933333333,8.09074727753e-10,0.999999999187,4.27358148869e-12
0.393866666667,8.54610324632e-10,0.999999999159,1.37272415657e-11
0.3958,9.02818521115e-10,0.999999999093,4.57545112909e-12
0.397733333333,9.53864805921e-10,0.999999999049,2.70206079733e-12
0.399666666667,1.00792559532e-09,0.999999998991,9.45798994678e-13
0.4016,1.06518900976e-09,0.999999998937,2.15782947066e-12
0.403533333333,1.1258557103e-09,0.999999998869,5.39868150184e-12
0.405466666667,1.19013979986e-09,0.999999998816,6.4785954379e-12
0.4074,1.25826979472e-09,0.999999998747,5.27666799144e-12
0.409333333333,1.33048967237e-09,0.999999998672,2.92676993752e-12
0.411266666667,1.40706000204e-09,0.999999998605,1.20583543151e-11
0.4132,1.48825916514e-09,0.99999999851,1.65412128439e-12
0.415133333333,1.57438467348e-09,0.99999999841,1.58617563528e-11
0.417066666667,1.66575459403e-09,0.999999998321,1.33208999387e-11
0.419,1.76270908874e-09,0.999999998239,1.80722103948e-12
0.420933333333,1.86561208108e-09,0.999999998134,6.15063555642e-13
